Animal,Count,Sample_ID,Site_ID,DSclass
BandedMongoose,10,1,8,1
BlackBackedJackal,2,1,6,3
Hyena,2,1,6,1
Hyena,1,1,8,1
Lion,9,1,8,1
BlackBackedJackal,1,1,7,2
BlackBackedJackal,3,1,7,1
Hyena,1,1,7,3
Hyena,1,1,8,1
BandedMongoose,16,1,8,2
Lion,1,1,8,1
BlackBackedJackal,1,1,8,1
BandedMongoose,8,1,6,1
Hyena,1,2,2,1
Cheetah,1,2,2,1
Hyena,1,2,4,1
Hyena,8,2,5,1
BandedMongoose,10,2,7,1
BandedMongoose,3,2,7,1
Lion,4,2,4,1
Hyena,1,2,6,2
Hyena,1,3,5,1
Hyena,1,3,4,1
Lion,1,3,5,4
BandedMongoose,12,3,6,2
Lion,4,3,7,2
BlackBackedJackal,1,3,7,1
BlackBackedJackal,1,3,7,1
BandedMongoose,12,3,8,1
Hyena,1,3,1,2
Lion,1,3,3,8
Hyena,1,4,5,3
BandedMongoose,17,4,6,1
BandedMongoose,5,4,3,1
Hyena,1,4,6,7
BatEaredFox,2,4,7,1
Hyena,1,4,1,2
Lion,4,4,3,5
Hyena,1,4,6,1
Hyena,1,5,1,1
Hyena,1,5,2,4
Lion,16,5,4,4
Lion,6,5,8,2
Hyena,4,5,7,2
BlackBackedJackal,1,5,7,1
BandedMongoose,26,5,8,2
Hyena,1,5,1,4
Hyena,2,5,1,1
Lion,1,5,4,5
BandedMongoose,16,5,5,1
Hyena,1,6,2,1
BlackBackedJackal,2,6,6,2
BandedMongoose,16,6,6,1
Lion,1,6,2,2
Lion,6,7,3,2
Lion,1,7,4,1
Lion,1,7,4,1
BlackBackedJackal,2,7,5,1
BlackBackedJackal,2,7,6,1
BandedMongoose,1,7,6,1
Hyena,1,7,6,10
Lion,1,7,2,3
BatEaredFox,3,7,7,1
Hyena,1,7,8,1
Hyena,1,7,8,1
BlackBackedJackal,1,7,8,1
Serval,1,7,4,1
Hyena,1,8,2,2
BandedMongoose,3,8,5,2
Hyena,2,8,8,1
Hyena,1,8,8,1
BandedMongoose,5,8,6,1
Hyena,2,8,8,1
Hyena,1,8,7,1
Hyena,3,8,7,4
BlackBackedJackal,2,8,7,2
Hyena,2,8,8,1
Lion,4,8,8,1
BlackBackedJackal,2,8,8,4
Hyena,1,8,8,2
Leopard,1,8,2,1
BandedMongoose,4,8,5,1
Lion,3,8,1,1
Caracal,1,8,4,1
BandedMongoose,13,8,5,1
Cheetah,1,8,7,1
SlenderMongoose,1,8,7,1
Hyena,1,8,7,2
Lion,1,8,2,8
Cheetah,1,10,2,6
Hyena,2,10,4,1
BandedMongoose,11,10,6,1
Lion,3,10,6,1
Lion,1,10,7,2
Hyena,2,10,7,3
Hyena,3,10,8,1
Lion,2,11,2,1
Lion,3,11,4,1
Hyena,1,11,7,1
Hyena,10,11,4,3
Hyena,2,11,4,2
BatEaredFox,1,11,7,1
Hyena,2,11,7,3
