FID,Animal,Count,Bearing,Distance,NObservers,Vehicle,Day,Month,Year,Territory,StartingTi,Time,CarNorthin,CarEasting,AdjNorthin,AdjEasting,AccurateCo,FirstDetec,Sample_ID,Site_ID,DSclass
177,Hyena,1,317,246,2,GreenCruiserKAS,4,1,2014,West,6:34,7:31,9834818.258,745812.7784,9834998.171,745645.0068,1,1,12,16,5
178,SideStripedJackal,1,357,165,2,GreenCruiserKAS,4,1,2014,West,6:34,7:32,9834786.405,745624.3205,9834951.179,745615.6851,1,1,12,16,4
179,Hyena,3,151,74,2,GreenCruiserKAS,4,1,2014,West,6:34,7:51,9836709.402,743710.0586,9836644.68,743745.9345,1,1,12,16,2
180,BandedMongoose,18,65,145,2,GreenCruiserKAS,4,1,2014,West,6:34,8:25,9840347.731,742330.6793,9840409.01,742462.0939,1,1,12,17,2
181,SlenderMongoose,1,132,34,2,GreenCruiserKAS,4,1,2014,West,6:34,9:13,9838045.221,747722.4858,9838022.471,747747.7528,1,1,12,17,1
182,Hyena,1,1,153,2,GreenCruiserKAS,4,1,2014,West,6:34,10:47,9835279.81,747014.551,9835432.787,747017.2213,1,1,12,15,2
183,BlackBackedJackal,4,353,153,1,GreenCruiserKAS,5,1,2014,West,6:44,6:58,9839849.828,742374.1682,9840001.688,742355.5222,1,1,12,17,2
184,BlackBackedJackal,1,209,23.5,1,GreenCruiserKAS,5,1,2014,West,6:44,7:43,9838109.16,747441.0698,9838088.606,747429.6767,1,1,12,17,1
185,BlackBackedJackal,1,331,183,1,GreenCruiserKAS,5,1,2014,West,6:44,8:06,9837700.158,751321.0144,9837860.213,751232.2942,1,1,12,14,3
186,Hyena,2,293,515.5,1,GreenCruiserKAS,5,1,2014,West,6:44,8:16,9836855.285,748783.2806,9837056.706,748308.7603,1,1,12,14,8
187,Hyena,2,1,485,1,GreenCruiserKAS,5,1,2014,West,6:44,8:59,9834184.057,746904.6925,9834668.983,746913.1569,1,1,12,15,4
188,Hyena,1,113,139.5,1,GreenCruiserKAS,5,1,2014,West,6:44,9:12,9835286.712,747672.7971,9835232.205,747801.2075,1,1,12,15,2
189,Hyena,2,233,224,1,GreenCruiserKAS,5,1,2014,West,6:44,9:32,9836007.785,745988.9514,9835872.978,745810.057,1,1,12,16,5
190,Hyena,1,273,519.5,1,GreenCruiserKAS,7,2,2014,West,7:00,7:15,9837214.848,749109.1837,9837242.036,748590.3957,1,1,13,14,9
191,Hyena,1,265,298.5,1,GreenCruiserKAS,7,2,2014,West,7:00,7:18,9836813.03,748749.9449,9836787.014,748452.5808,1,1,13,14,3
192,Hyena,1,225,72.5,1,GreenCruiserKAS,7,2,2014,West,7:00,7:28,9836471.946,748645.3369,9836420.681,748594.0716,1,1,13,14,2
193,Hyena,1,48,173,1,GreenCruiserKAS,7,2,2014,West,7:00,8:23,9835337.538,747287.3419,9835453.298,747415.9059,1,1,13,15,4
194,Hyena,1,153,388,1,GreenCruiserKAS,7,2,2014,West,7:00,8:49,9836542.774,745837.0185,9836197.063,746013.1668,1,1,13,16,2
195,BlackBackedJackal,2,205,26.5,1,GreenCruiserKAS,7,2,2014,West,7:00,9:56,9839966.07,744644.2071,9839942.053,744633.0077,1,1,13,17,1
196,Hyena,1,322,35,2,GreenCruiserKAS,8,2,2014,West,7:00,7:08,9835994.568,747336.4864,9836022.148,747314.9382,1,1,13,15,1
197,Hyena,1,263,377,2,GreenCruiserKAS,8,2,2014,West,7:00,7:23,9837601.534,745884.8444,9837555.589,745510.6545,1,1,13,15,3
198,Hyena,4,247,203.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:02,9836942.239,744467.126,9836862.726,744279.8032,1,1,13,16,2
199,Hyena,4,308,160,2,GreenCruiserKAS,8,2,2014,West,7:00,8:03,9836926.758,744343.0204,9837025.264,744216.9386,1,0,13,16,2
200,Hyena,1,192,140.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:13,9836820.225,743924.1687,9836682.795,743894.9571,1,1,13,16,3
201,BlackBackedJackal,2,322,93.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:25,9838041.336,743467.916,9838115.015,743410.3517,1,1,13,16,2
202,BlackBackedJackal,1,67,268,2,GreenCruiserKAS,8,2,2014,West,7:00,8:26,9838042.85,743475.1395,9838147.566,743721.8348,1,1,13,16,1
203,BlackBackedJackal,1,333,130.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:26,9838091.608,743607.6097,9838207.885,743548.364,1,1,13,16,3
204,Hyena,3,332,291.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:27,9838130.824,743762.362,9838388.203,743625.511,1,1,13,16,6
205,Hyena,4,339,284,2,GreenCruiserKAS,8,2,2014,West,7:00,8:32,9838332.566,744306.6022,9838597.703,744204.8257,1,1,13,16,2
206,Hyena,3,307,166.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:32,9838488.161,744286.1611,9838588.363,744153.1883,1,1,13,16,3
207,Hyena,7,288,210.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:38,9838915.808,744102.7231,9838980.856,743902.5257,1,1,13,16,2
208,Hyena,1,312,125.5,2,GreenCruiserKAS,8,2,2014,West,7:00,8:43,9839161.312,743771.9873,9839245.288,743678.7226,1,1,13,16,1
209,BandedMongoose,17,275,157,2,GreenCruiserKAS,8,2,2014,West,7:00,8:59,9839852.182,742375.0382,9839865.866,742218.6357,1,1,13,17,3
210,BandedMongoose,9,128,500,2,GreenCruiserKAS,8,2,2014,West,7:00,9:11,9840279.928,743230.4327,9839972.097,743624.4381,1,1,13,17,4
211,BlackBackedJackal,1,106,43,2,GreenCruiserKAS,8,2,2014,West,7:00,9:19,9840143.145,744462.4536,9840131.293,744503.7879,1,1,13,17,1
212,BandedMongoose,14,57,93,2,GreenCruiserKAS,8,2,2014,West,7:00,9:47,9838544.6,745654.4323,9838595.252,745732.4286,1,1,13,17,2
213,BandedMongoose,2,163,133,2,GreenCruiserKAS,8,2,2014,West,7:00,9:47,9838500.604,745732.6849,9838373.416,745771.5704,1,1,13,17,3
214,BlackBackedJackal,1,283,78,1,GreenCruiserKAS,9,2,2014,West,7:01,7:03,9838695.899,744283.5553,9838713.445,744207.5544,1,1,13,16,2
215,BlackBackedJackal,1,132,203,1,GreenCruiserKAS,9,2,2014,West,7:01,8:21,9837783.686,750716.2592,9837647.852,750867.1176,1,1,13,14,3
