FID,Animal,Count,Bearing,Distance,NObservers,Vehicle,Day,Month,Year,Territory,StartingTi,Time,CarNorthin,CarEasting,AdjNorthin,AdjEasting,AccurateCo,FirstDetec,Sample_ID,Site_ID,DSclass
311,Lion,3,295,39,2,Maruti,27,6,2013,North,6:34,11:01,9849895.853,720912.8444,9849912.335,720877.4984,1,1,10,6,1
312,Lion,1,131,108,2,Maruti,27,6,2013,North,6:34,11:40,9846507.8,721020.7582,9846436.945,721102.2668,1,1,10,7,2
313,Hyena,2,218,138,2,Maruti,30,6,2013,North,6:37,7:18,9846815.664,722287.06,9846706.919,722202.0987,1,1,10,7,3
314,Hyena,3,226,150,2,Maruti,30,6,2013,North,6:37,8:02,9846636.797,724621.615,9846532.599,724513.714,1,1,10,8,1
315,Lion,2,68,72,1,Maruti,6,8,2013,North,6:51,7:17,9844711.837,720019.2264,9844738.809,720085.9836,1,1,11,2,1
316,Lion,3,332,52.5,1,Maruti,6,8,2013,North,6:51,9:02,9855143.553,720264.9091,9855189.908,720240.2618,1,1,11,4,1
317,Hyena,1,182,11.5,1,Maruti,6,8,2013,North,6:51,12:14,9846721.182,722780.7224,9846709.689,722780.321,1,1,11,7,1
318,Hyena,10,159,201,1,Maruti,7,8,2013,North,6:41,6:51,9855816.761,722164.6611,9855629.112,722236.6931,1,1,11,4,3
319,Hyena,2,131,149,1,Maruti,7,8,2013,North,6:41,7:00,9855071.748,722480.2242,9854973.995,722592.6759,1,1,11,4,2
320,BatEaredFox,1,308,159,1,Maruti,8,8,2013,North,6:55,7:35,9846807.911,722302.1493,9846905.801,722176.8556,1,1,11,7,1
321,Hyena,2,312,285,1,Maruti,8,8,2013,North,6:55,7:38,9847007.573,721993.8597,9847198.275,721782.0634,1,1,11,7,3
322,Hyena,1,103,111,1,Maruti,8,8,2013,North,6:55,7:43,9847706.576,721960.8397,9847681.607,722068.9948,1,1,11,7,2
323,Lion,1,206,45,3,Maruti,28,9,2013,North,6:27,7:29,9846473.629,717754.2538,9846433.183,717734.5271,1,1,12,2,1
324,BandedMongoose,19,76,80,3,Maruti,28,9,2013,North,6:27,10:25,9851396.164,719232.8773,9851415.518,719310.5009,0,1,12,5,1
